Date;winner;loser
30/11/2016;Shiso;Tabu
30/11/2016;Muku;Shida
30/11/2016;Shika;Mochi
30/11/2016;Yuu;Yumin
01/12/2016;Kibana;Usu
02/12/2016;Kibana;Kinoko
02/12/2016;Shiso;Yomogi
02/12/2016;Shiso;Kote
03/12/2016;Okura;Kinoko
03/12/2016;Kei;Okura
03/12/2016;Kei;Mikan
03/12/2016;Kei;Serori
05/12/2016;Omoto;Yumin
05/12/2016;Okura;Hado
05/12/2016;Kinoko;Betei
05/12/2016;Kei;Serori
05/12/2016;Yomogi;Pichi
05/12/2016;Shiira;Tsutsuji
07/12/2016;Okura;Yuna
07/12/2016;Serori;Nire
07/12/2016;Kei;Yashi
07/12/2016;Shika;Mushi
07/12/2016;Yamu;Muku
07/12/2016;Yone;Komatsu
07/12/2016;Okapi;Kanna
07/12/2016;Kei;Kinoko
07/12/2016;Serori;Binega
07/12/2016;Serori;Uso
07/12/2016;Kei;Omoto
07/12/2016;Tabu;Tsuwa
07/12/2016;Kei;Muku
07/12/2016;Yashi;Kibana
07/12/2016;Yamu;Yone
07/12/2016;Yotsuba;Yomogi
07/12/2016;Shika;Mochi
07/12/2016;Kei;Shide
07/12/2016;Shiso;Shiira
07/12/2016;Shiso;Kote
07/12/2016;Kinoko;Okapi
08/12/2016;Tsutsuji;Mekki
08/12/2016;Shiira;Tabu
08/12/2016;Kei;Kizu
08/12/2016;Yashi;Shida
08/12/2016;Shide;Shida
08/12/2016;Takana;Okapi
08/12/2016;Kei;Tabu
08/12/2016;Shika;Okapi
08/12/2016;Shide;Tabu
08/12/2016;Kei;Tsuwa
08/12/2016;Kei;Shide
08/12/2016;Kibana;Hado
08/12/2016;Kei;Tabu
08/12/2016;Takana;Okura
08/12/2016;Shide;Tsutsuji
08/12/2016;Muku;Betei
08/12/2016;Kei;Kizu
08/12/2016;Yashi;Muku
08/12/2016;Usu;Muku
08/12/2016;Omoto;Muku
09/12/2016;Kei;Yashi
09/12/2016;Uso;Usu
09/12/2016;Kei;Shide
09/12/2016;Yuu;Usu
09/12/2016;Kei;Shide
09/12/2016;Shida;Bon
09/12/2016;Shika;Shiso
09/12/2016;Yamu;Nire
09/12/2016;Shide;Tabu
09/12/2016;Okura;Hado
09/12/2016;Shide;Shiira
09/12/2016;Okura;Kibana
09/12/2016;Shide;Shika
09/12/2016;Kote;Mizu
09/12/2016;Shide;Shika
09/12/2016;Shiso;Usu
09/12/2016;Kei;Yashi
09/12/2016;Kizu;Serori
09/12/2016;Yashi;Tabu
09/12/2016;Mizu;Kanna
09/12/2016;Kei;Yashi
09/12/2016;Kizu;Kinoko
09/12/2016;Shide;Shida
09/12/2016;Shiso;Kinoko
09/12/2016;Shide;Shiira
09/12/2016;Shide;Hado
09/12/2016;Kei;Yashi
09/12/2016;Kei;Shide
09/12/2016;Shide;Tsutsuji
09/12/2016;Shika;Yashi
09/12/2016;Shide;Shika
09/12/2016;Shide;Yashi
09/12/2016;Shide;Shika
09/12/2016;Shide;Yashi
09/12/2016;Shide;Tsutsuji
09/12/2016;Kei;Shide
09/12/2016;Kei;Tabu
09/12/2016;Shika;Muku
10/12/2016;Kei;Noru
11/12/2016;Kei;Yone
11/12/2016;Kei;Tsuwa
11/12/2016;Okura;Okapi
11/12/2016;Okura;Yumin
11/12/2016;Shiso;Okura
11/12/2016;Shika;Okura
11/12/2016;Kei;Yashi
11/12/2016;Kei;Yashi
11/12/2016;Kei;Shiira
11/12/2016;Kei;Shiso
11/12/2016;Kei;Yashi
11/12/2016;Kei;Tabu
11/12/2016;Kei;Shide
11/12/2016;Kei;Yashi
11/12/2016;Kei;Tsutsuji
11/12/2016;Uso;Muku
11/12/2016;Shide;Shiira
11/12/2016;Yashi;Yamu
11/12/2016;Shide;Yashi
11/12/2016;Kei;Shide
11/12/2016;Kei;Shida
11/12/2016;Kei;Yashi
11/12/2016;Kei;Tabu
11/12/2016;Kei;Yashi
11/12/2016;Shide;Tsutsuji
12/12/2016;Yomogi;Muku
12/12/2016;Bon;Nire
12/12/2016;Tsutsuji;Binega
12/12/2016;Keta;Mushi
12/12/2016;Kei;Shiira
12/12/2016;Kei;Shiira
12/12/2016;Shida;Tsutsuji
12/12/2016;Tabu;Tsutsuji
12/12/2016;Tsutsuji;Komatsu
12/12/2016;Yashi;Noru
12/12/2016;Shide;Binega
12/12/2016;Kei;Tsutsuji
12/12/2016;Shide;Shida
12/12/2016;Kei;Kibana
12/12/2016;Kei;Okura
12/12/2016;Okura;Kibana
12/12/2016;Kei;Mushi
12/12/2016;Kei;Yashi
13/12/2016;Kei;Bon
13/12/2016;Tsuwa;Yomogi
13/12/2016;Kei;Tsutsuji
13/12/2016;Kei;Kote
13/12/2016;Kei;Tsutsuji
13/12/2016;Kei;Tabu
13/12/2016;Kei;Shide
13/12/2016;Kei;Yone
13/12/2016;Kei;Shika
13/12/2016;Kei;Kinoko
13/12/2016;Tabu;Kote
13/12/2016;Kei;Yotsuba
13/12/2016;Kei;Komatsu
13/12/2016;Kei;Yamu
13/12/2016;Kei;Hado
13/12/2016;Kei;Yone
13/12/2016;Shide;Tsutsuji
13/12/2016;Kei;Yotsuba
13/12/2016;Kei;Yomogi
13/12/2016;Kei;Kinoko
13/12/2016;Kei;Shide
13/12/2016;Kei;Kinoko
13/12/2016;Kei;Yone
13/12/2016;Kei;Shiso
13/12/2016;Yamu;Kanna
14/12/2016;Kei;Toga
14/12/2016;Kei;Kinoko
14/12/2016;Kei;Yomogi
14/12/2016;Shiira;Mekki
14/12/2016;Tabu;Shiira
14/12/2016;Tabu;Mochi
14/12/2016;Shide;Shiira
14/12/2016;Takana;Tsuwa
14/12/2016;Kinoko;Binega
14/12/2016;Omoto;Yuu
14/12/2016;Kei;Shiira
14/12/2016;Kei;Kizu
14/12/2016;Yamu;Komatsu
14/12/2016;Yamu;Kote
15/12/2016;Usu;Serori
15/12/2016;Kei;Shiira
15/12/2016;Kizu;Usu
15/12/2016;Okura;Muku
15/12/2016;Okura;Usu
15/12/2016;Kote;Hado
15/12/2016;Tsuwa;Shiira
15/12/2016;Takana;Okura
15/12/2016;Okura;Mochi
15/12/2016;Shide;Haku
15/12/2016;Kei;Shiira
15/12/2016;Yamu;Okapi
15/12/2016;Shide;Toga
15/12/2016;Yashi;Muku
15/12/2016;Kei;Shide
15/12/2016;Takana;Noru
15/12/2016;Kei;Shiira
15/12/2016;Kei;Shiso
15/12/2016;Shiira;Mochi
15/12/2016;Shide;Noru
15/12/2016;Kei;Shiira
15/12/2016;Serori;Kanna
15/12/2016;Serori;Mushi
15/12/2016;Shiso;Omoto
15/12/2016;Kei;Tabu
15/12/2016;Yashi;Kizu
15/12/2016;Mikan;Minku
15/12/2016;Okura;Mizu
15/12/2016;Kei;Shide
15/12/2016;Okura;Kote
15/12/2016;Omoto;Kizu
15/12/2016;Shide;Shika
15/12/2016;Okura;Kote
15/12/2016;Serori;Muku
15/12/2016;Shide;Yashi
15/12/2016;Yuna;Binega
15/12/2016;Shika;Serori
15/12/2016;Shide;Yomogi
15/12/2016;Shide;Tabu
15/12/2016;Omoto;Usu
15/12/2016;Yuu;Binega
15/12/2016;Haku;Pichi
15/12/2016;Yuna;Pichi
15/12/2016;Kizu;Usu
15/12/2016;Tsuwa;Usu
15/12/2016;Kinoko;Kanna
15/12/2016;Yone;Usu
15/12/2016;Omoto;Hado
18/12/2016;Shiira;Tsutsuji
18/12/2016;Okura;Betei
18/12/2016;Shide;Shika
18/12/2016;Shika;Yamu
18/12/2016;Shika;Shiira
18/12/2016;Yashi;Mizu
18/12/2016;Yashi;Mizu
18/12/2016;Kei;Shiira
18/12/2016;Komatsu;Usu
18/12/2016;Kei;Tsutsuji
18/12/2016;Noru;Mushi
18/12/2016;Kei;Tabu
18/12/2016;Yone;Yomogi
18/12/2016;Mushi;Minku
18/12/2016;Shika;Mikan
18/12/2016;Yashi;Shida
18/12/2016;Mushi;Minku
18/12/2016;Shide;Takana
18/12/2016;Okura;Minku
18/12/2016;Shide;Shida
18/12/2016;Shika;Yomogi
18/12/2016;Yashi;Shiira
18/12/2016;Shide;Tabu
18/12/2016;Shiira;Shida
18/12/2016;Shide;Shiira
18/12/2016;Shide;Yamu
19/12/2016;Omoto;Minku
19/12/2016;Kei;Shide
19/12/2016;Shide;Shiso
19/12/2016;Hado;Mikan
19/12/2016;Mikan;Betei
19/12/2016;Noru;Kibana
19/12/2016;Uso;Beni
19/12/2016;Shiira;Haku
19/12/2016;Tabu;Kote
19/12/2016;Okapi;Usu
19/12/2016;Noru;Kote
19/12/2016;Kei;Beni
19/12/2016;Usu;Binega
19/12/2016;Kei;Tsuwa
19/12/2016;Shide;Yamu
19/12/2016;Usu;Binega
19/12/2016;Kei;Bon
19/12/2016;Kei;Shide
19/12/2016;Serori;Binega
19/12/2016;Uso;Suma
19/12/2016;Shide;Shiira
19/12/2016;Kei;Yone
19/12/2016;Kei;Shide
19/12/2016;Kei;Shide
19/12/2016;Tabu;Komatsu
19/12/2016;Yone;Serori
19/12/2016;Kei;Tsuwa
19/12/2016;Serori;Usu
19/12/2016;Yamu;Kizu
19/12/2016;Shide;Shiira
19/12/2016;Suma;Mizu
19/12/2016;Okura;Minku
19/12/2016;Omoto;Yone
19/12/2016;Shide;Tsuwa
19/12/2016;Omoto;Noko
19/12/2016;Okura;Binega
19/12/2016;Yone;Mikan
19/12/2016;Takana;Serori
19/12/2016;Okapi;Beni
19/12/2016;Serori;Toga
19/12/2016;Tabu;Shida
19/12/2016;Noru;Yone
19/12/2016;Kizu;Usu
19/12/2016;Kei;Shide
19/12/2016;Uso;Mikan
19/12/2016;Serori;Usu
19/12/2016;Shide;Tabu
19/12/2016;Shiso;Hiba
19/12/2016;Yashi;Tsutsuji
19/12/2016;Kei;Tsuwa
19/12/2016;Yamu;Hiba
19/12/2016;Yashi;Betei
19/12/2016;Kei;Shide
19/12/2016;Yashi;Kote
19/12/2016;Yashi;Shiira
19/12/2016;Kei;Shide
19/12/2016;Kei;Yashi
19/12/2016;Kinoko;Serori
19/12/2016;Kei;Shiira
19/12/2016;Yashi;Noko
19/12/2016;Yuu;Serori
19/12/2016;Shide;Kote
19/12/2016;Yashi;Kote
19/12/2016;Kei;Shide
19/12/2016;Omoto;Yone
19/12/2016;Yamu;Kote
19/12/2016;Shida;Haku
19/12/2016;Kei;Tsuwa
19/12/2016;Shide;Shiira
19/12/2016;Okapi;Yomogi
19/12/2016;Kei;Shide
19/12/2016;Usu;Minku
19/12/2016;Yomogi;Noru
19/12/2016;Tabu;Shida
19/12/2016;Shide;Tabu
19/12/2016;Mikan;Mochi
19/12/2016;Tabu;Tsutsuji
19/12/2016;Kei;Shide
19/12/2016;Kei;Yashi
19/12/2016;Shide;Shika
19/12/2016;Yashi;Shika
20/12/2016;Shide;Shiira
20/12/2016;Shide;Shiira
20/12/2016;Shide;Shika
20/12/2016;Shiira;Yomogi
20/12/2016;Shide;Yomogi
20/12/2016;Shide;Shida
