ID;A;AG;SEX;FOA;FSA;EL;EO;ET;ESO;D;S;EV
beni;8;adult;female;439;4;569;1062.022499;0;2531.360113;18;0.38512592;0.292248945
kanna;13;adult;female;487;3;763;2499.031273;603.9180102;0;9;0.52647711;0.04298231
kei;13;adult;male;442;1;2123;459.7701149;0;25.54278416;10;0.22241973;0.089141396
keta;11;adult;male;42;1;1699;272.6653033;218.1322427;0;2;0.04116302;0.004948504
kibana;13;adult;female;462;4;1234;831.4453199;724.6545319;8.602150538;14;0.76869011;0.43545496
kinoko;16;adult;female;492;4;1094;1260.62915;1527.564505;77.53371135;19;0.95657616;1
kizu;11;adult;female;450;4;1110;1389.207766;93.87131749;2161.040547;11;0.77821192;0.984627364
mikan;10;adult;female;403;4;984;2094.396138;144.1430094;269.5697252;11;0.46726232;0.38622847
minku;12;adult;male;41;1;1295;737.0184255;0;134.0033501;3;0.09459304;0.076826658
mizu;8;adult;female;441;4;888;1524.778828;47.82400765;1349.44782;13;0.37432529;0.271599354
muku;13;adult;female;441;4;731;1121.682134;595.9393806;2014.652015;15;0.40710263;0.309278912
mushi;17;adult;male;406;0;1241;;;;16;0.27474541;0.315615168
neji;9;adult;male;0;0;1061;;;;1;0.07317073;0.004852846
okapi;11;adult;male;448;4;1282;179.2737557;26.43706994;0;17;0.34444186;0.161412423
okura;10;adult;female;451;4;1351;1031.957654;138.6668458;0;10;0.37667333;0.115712082
omoto;14;adult;female;437;4;1338;1462.505032;43.0594148;1193.887297;22;0.76022332;0.655896416
serori;12;adult;female;467;4;791;507.8907779;762.6041898;26.04166667;13;0.27424544;0.260621316
shide;12;adult;female;489;4;1596;1198.52867;477.4012244;0;11;0.52355006;0.208498199
shika;9;adult;male;471;4;1492;1229.554556;563.3803223;16.86340641;21;0.35285222;0.132088877
shiso;14;adult;female;447;4;1551;284.8262858;286.7781394;25.44529262;10;0.36528611;0.065697063
toga;13;adult;female;445;4;615;677.6274232;483.9916802;552.2505236;11;0.71953542;0.898793408
tsuwa;6;adult;female;481;4;1202;1334.720429;51.39214156;33.06878307;16;0.31094998;0.079017008
uso;17;adult;male;41;0;1270;;;;5;0.1168173;0.07597925
usu;17;adult;female;410;4;798;2142.680835;106.1264625;42.07779208;16;0.70190495;0.88855826
yamu;19;adult;female;488;4;1509;1003.017196;10.47120419;23.17331496;18;0.74098186;0.350350816
yashi;21;adult;female;447;4;1516;623.684607;0;132.9787234;10;0.72677929;0.165119228
yone;7;adult;female;445;4;1083;466.5428244;201.2578616;2445.8844;21;0.43814805;0.426382563
yuna;7;adult;female;452;4;674;930.4042281;604.6127548;759.57326;7;0.3550599;0.042972482
betei;3;juvenile;female;485;4;436;1660.268832;737.3076282;6522.232083;14;0.28800437;0.177110947
binega;4;juvenile;female;480;4;346;2516.985574;574.8403804;6018.861394;18;0.51352078;0.405885635
bon;4;juvenile;male;472;4;590;3103.120364;1241.632231;3820.669626;7;0.47927046;0.619969418
botan;2;juvenile;female;431;4;512;2040.148854;2324.091963;4586.650847;12;0.57576761;0.712585327
hado;4;juvenile;female;433;4;836;734.4298536;491.6067146;2664.535074;14;0.37002238;0.239518961
haku;2;juvenile;male;444;4;1022;3357.294053;3531.574924;5544.141282;6;0.27815987;0.190691365
hiba;3;juvenile;female;441;4;693;3175.696459;1496.989659;7530.345152;12;0.55441883;0.799084552
hirame;1;juvenile;male;485;2;726;634.0456896;709.2306425;15749.57497;20;0.7272077;0.910951146
komatsu;2;juvenile;female;529;4;902;2018.27456;28.81260783;8048.394627;18;0.36342292;0.199760193
kote;5;juvenile;male;468;4;1206;586.0543151;398.3228512;5241.126148;15;0.41871722;0.195068355
mekki;2;juvenile;male;445;4;590;2733.915344;3445.820858;12821.21746;21;0.73699012;0.945367098
mochi;2;juvenile;female;489;4;635;746.1755907;140.8934312;1729.647445;16;0.40614736;0.107657791
noko;2;juvenile;male;474;4;952;3127.260039;1554.330799;11437.04064;18;0.22999402;0.228971989
pan;2;juvenile;female;445;4;615;588.0344808;358.8413316;6316.23675;13;0.23740698;0.167690102
pichi;3;juvenile;female;448;4;495;507.6210592;504.3084695;7388.9253;10;0.13377267;0.097227688
shida;2;juvenile;male;424;4;964;1835.46592;1568.931449;1700.968156;19;0.42610315;0.117721009
shiira;4;juvenile;male;519;4;1030;1444.849264;2795.673312;647.0370516;17;0.46007404;0.120274763
tabu;3;juvenile;female;498;4;1240;2631.150276;1025.741988;2909.941268;21;0.46482145;0.179837452
takana;1;juvenile;female;453;0;1132;;;;27;0.60875347;0.249874735
tsutsuji;4;juvenile;female;487;4;1111;865.4384886;188.1313717;2340.711498;17;0.36184131;0.073052233
yomogi;4;juvenile;male;521;4;996;1051.751986;0;3326.001386;16;0.41578467;0.399709283
yotsuba;2;juvenile;female;488;4;786;2340.452995;1796.10646;6458.226645;18;0.59465071;0.701917261
yumin;2;juvenile;male;332;4;648;1300.825039;4032.949222;9188.420103;11;0.21540521;0.04142374
yuu;5;juvenile;male;410;4;845;949.406966;545.8742932;2030.685642;8;0.40947882;0.038373871
