ID;beni;kanna;kei;keta;kibana;kinoko;kizu;mikan;minku;mizu;muku;mushi;neji;okapi;okura;omoto;serori;shide;shika;shiso;toga;tsuwa;uso;usu;yamu;yashi;yone;yuna;betei;binega;bon;botan;hado;haku;hiba;hirame;komatsu;kote;mekki;mochi;noko;pan;pichi;shida;shiira;tabu;takana;tsutsuji;yomogi;yotsuba;yumin;yuu
beni;0;0;0;0;0;0;0.041619798;0;0;0.009090909;0.001136364;0;0;0;0.02247191;0.038812785;0;0;0.002197802;0;0;0;0;0;0;0;0;0;0.136363636;0;0;0;0;0;0.002272727;0.04004329;0.002066116;0;0;0;0.009857612;0;0;0;0;0;0.001121076;0;0;0;0;0
kanna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004175365;0;0;0;0;0;0;0;0.001072961;0.094781683;0;0;0;0;0;0;0;0.002057613;0;0;0;0;0;0;0;0;0;0;0.00106383;0;0;0;0.142857143;0.146042363
kei;0;0;0;0;0.027654867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.057367829;0;0;0;0.004694836;0.041935484;0.03712036;0;0;0;0;0;0;0;0;0;0;0.001029866;0;0;0;0;0;0;0;0;0;0.023463687;0;0;0;0;0
keta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003552398;0;0;0.037610619
kibana;0;0;0;0;0;0;0.04495614;0;0;0;0;0;0;0;0;0.003337041;0;0;0.001071811;0;0;0;0;0;0.012631579;0;0;0;0;0;0;0;0.129608939;0.04415011;0;0;0;0;0;0;0;0;0;0.001128668;0;0;0;0;0.026449644;0.043157895;0;0
kinoko;0.012889366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07212056;0.02919708;0;0;0;0.040554963;0;0;0.019955654;0;0;0.008537887;0;0;0;0;0.001083424;0.002162162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.050345508;0.089795918;0;0
kizu;0;0;0;0;0.04495614;0;0;0;0;0;0.037037037;0;0;0;0;0;0;0.007454739;0;0;0;0;0;0;0.001066098;0;0;0;0;0;0;0;0;0;0.187429854;0.263101604;0;0;0;0;0;0;0;0;0;0;0.003322259;0;0;0;0;0
mikan;0;0;0.001183432;0;0;0.036871508;0;0;0;0;0;0;0;0;0.003512881;0.138095238;0;0;0;0;0;0;0;0.034440344;0.026936027;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02240566;0;0;0.001179245;0;0;0;0;0;0;0;0;0;0
minku;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.030864198;0;0;0.038387716;0.025341131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mizu;0;0;0;0;0;0.012861736;0;0.005924171;0;0;0;0;0;0.105736783;0.040358744;0.012528474;0;0;0;0;0;0;0;0.016451234;0.006458558;0;0.063205418;0;0;0;0;0;0;0;0;0;0;0;0.007900677;0;0;0;0;0;0;0;0;0;0;0.010764263;0;0
muku;0;0;0;0;0;0.040728832;0.024691358;0;0;0;0;0;0;0;0;0.0261959;0.02753304;0;0.040570175;0;0;0;0;0;0.049515608;0;0;0;0;0.04451683;0;0;0;0;0;0.002159827;0.001030928;0;0;0;0;0;0.059617548;0.001156069;0;0;0;0;0;0;0;0
mushi;0;0;0;0;0;0.024498886;0.047897196;0;0;0;0;0;0;0;0;0.011862396;0;0;0;0.001172333;0;0;0;0;0.001118568;0;0.011750881;0;0;0;0;0;0.00476758;0;0.048406139;0.046015713;0;0;0;0;0;0;0.003512881;0;0.002162162;0.029867257;0.001164144;0.014557671;0;0;0;0
neji;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
okapi;0;0;0.024719101;0;0;0;0;0.019976498;0;0.01912261;0.001124859;0;0;0;0.021134594;0.01920904;0.002185792;0;0;0;0.001119821;0;0;0.002331002;0;0;0;0;0.00750268;0;0;0;0;0;0;0;0;0.020742358;0.004479283;0.001067236;0;0;0;0;0;0;0;0.007486631;0.001031992;0;0;0
okura;0.006741573;0;0;0;0.024096386;0;0;0.008196721;0;0.006726457;0;0;0;0.041156841;0;0;0.020697168;0;0;0;0;0.001072961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.095744681;0;0;0;0;0;0;0;0;0;0;0;0
omoto;0.029680365;0;0;0;0;0.004305705;0;0.097619048;0;0;0;0;0;0;0.001126126;0;0;0;0.001101322;0.004524887;0;0.003267974;0;0.069657615;0;0;0;0;0.00867679;0;0;0;0;0;0;0;0;0;0.01814059;0;0.126234907;0;0;0;0;0;0.001123596;0.001082251;0;0;0;0
serori;0;0;0;0;0;0.02919708;0;0;0;0;0;0;0;0.010928962;0.011982571;0.058628319;0;0;0.007462687;0;0;0;0;0.011402509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009868421;0.006276151;0;0;0;0;0;0;0;0;0.003036437;0;0;0
shide;0;0;0;0;0;0;0.001064963;0;0;0;0;0;0;0;0;0.014038877;0;0;0.009375;0;0;0.016494845;0;0;0;0.040598291;0;0;0;0;0;0;0;0;0;0.001026694;0;0;0;0;0;0;0;0;0;0.009118541;0.244161359;0;0;0;0;0
shika;0;0;0;0;0.025723473;0;0;0;0;0;0.085526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018518519;0.017467249;0.022751896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007821229;0;0.052631579;0;0;0;0;0;0
shiso;0;0;0.003374578;0;0;0;0;0;0;0;0;0;0;0;0.010022272;0.001131222;0;0;0;0;0;0.098060345;0;0;0;0;0.005605381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.128479657;0;0;0;0
toga;0;0;0;0;0;0.130202775;0.001117318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017977528;0;0;0.001081081;0.166848419;0.175799087;0;0;0;0.001075269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tsuwa;0;0.001033058;0.003250271;0;0;0;0;0;0;0;0;0;0;0;0.004291845;0;0;0.02371134;0.00105042;0.120689655;0;0;0;0;0;0;0.007559395;0;0;0;0;0;0;0;0;0.011387164;0;0.003161222;0;0;0.00104712;0;0;0.001104972;0.001;0.02145046;0.018201285;0.077479339;0;0;0;0
uso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.060491493;0;0;0;0;0;0;0;0;0;0;0;0.001754386;0;0;0;0;0;0;0;0.010714286;0;0;0;0;0;0;0
usu;0;0;0;0;0;0.043237251;0;0;0;0.010575793;0.023501763;0;0;0.01048951;0;0.060212515;0.049030787;0;0;0;0;0;0;0;0;0;0.003508772;0;0.003351955;0;0;0;0;0;0;0;0;0;0.239766082;0;0;0;0.006993007;0;0;0;0;0;0;0.010022272;0;0
yamu;0;0.001025641;0.034408602;0;0.054736842;0.033673469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023760331;0;0;0.001085776;0;0;0;0.140609636;0.137029289;0;0;0;0;0;0;0;0;0;0;0.012884044;0.017418033;0;0
yashi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.056623932;0;0.022371365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.084959816;0.066252588;0;0.006666667;0.023554604;0;0;0;0
