NO;MinEV;EV;MaxEV;MinS;S;MaxS;MinD;D;MaxD
1;-0.449358332;-0.249878703;-0.050399073;-0.484753775;-0.314770113;-0.144786451;-0.336376257;-0.146138849;0.044098559
2;-0.402170733;-0.217844085;-0.033517438;-0.482926462;-0.298744686;-0.114562911;-0.291149568;-0.0972127;0.096724169
3;-0.418682346;-0.224388066;-0.030093786;-0.463870165;-0.272647177;-0.081424188;-0.250323564;-0.057894695;0.134534173
4;-0.441241152;-0.231884867;-0.022528583;-0.455843524;-0.267424452;-0.079005381;-0.244762311;-0.05807083;0.128620651
5;-0.346615718;-0.153310194;0.039995329;-0.409544319;-0.226993387;-0.044442454;-0.212803183;-0.022938539;0.166926105
6;-0.145868714;0.050597293;0.2470633;-0.116596564;0.076311029;0.269218623;-0.183684568;0.012521451;0.20872747
7;-0.117176212;0.072789229;0.262754671;-0.116209666;0.077133742;0.27047715;-0.244209518;-0.058408821;0.127391875
8;-0.02586051;0.157213276;0.340287061;-0.11616949;0.068498743;0.253166976;-0.192137715;-0.003074631;0.185988453
9;-0.194328454;0.004442452;0.203213358;-0.115821389;0.072193189;0.260207768;-0.166132218;0.022167464;0.210467146
10;-0.18618283;0.005330337;0.196843503;-0.115805275;0.073842666;0.263490608;-0.157421088;0.032631138;0.222683364
11;0.031492611;0.211396;0.39129939;0.10537637;0.275157939;0.444939508;-0.097400438;0.107854515;0.313109469
12;0.024433471;0.215370076;0.406306682;0.106533377;0.296002532;0.485471688;-0.114819415;0.077348728;0.269516871
13;0.09806831;0.275549443;0.453030576;0.109632915;0.287659411;0.465685908;-0.07300581;0.113886092;0.300777995
14;0.018741966;0.201955298;0.38516863;0.113929774;0.283466294;0.453002814;0.07076027;0.255374933;0.439989595
15;0.075004872;0.25152019;0.428035509;0.138692468;0.307890683;0.477088898;-0.014757207;0.1734186;0.361594406
