NO;ID;CD;D;S;EV;A;AG;SEX;EL;FOA;FSA;EPG;Species
2151;beni;14;18;0.38512592;0.292248945;8;adult;female;569;439;4;263.4467618;Oes
2187;beni;21;18;0.38512592;0.292248945;8;adult;female;569;439;4;698.6027944;Oes
2194;beni;23;18;0.38512592;0.292248945;8;adult;female;569;439;4;399.5006242;Oes
2232;beni;29;18;0.38512592;0.292248945;8;adult;female;569;439;4;1674.418605;Oes
2128;kanna;9;9;0.52647711;0.04298231;13;adult;female;763;487;3;2014.388489;Oes
2294;kanna;39;9;0.52647711;0.04298231;13;adult;female;763;487;3;2752.457551;Oes
2317;kanna;42;9;0.52647711;0.04298231;13;adult;female;763;487;3;2730.247779;Oes
2163;kei;16;10;0.22241973;0.089141396;13;adult;male;2123;442;1;459.7701149;Oes
2154;keta;14;2;0.04116302;0.004948504;11;adult;male;1699;42;1;272.6653033;Oes
2241;kibana;30;14;0.76869011;0.43545496;13;adult;female;1234;462;4;1313.6289;Oes
2269;kibana;35;14;0.76869011;0.43545496;13;adult;female;1234;462;4;566.572238;Oes
2287;kibana;38;14;0.76869011;0.43545496;13;adult;female;1234;462;4;208.8772846;Oes
2320;kibana;42;14;0.76869011;0.43545496;13;adult;female;1234;462;4;32.4017821;Oes
2171;kinoko;19;19;0.95657616;1;16;adult;female;1094;492;4;1128.205128;Oes
2211;kinoko;25;19;0.95657616;1;16;adult;female;1094;492;4;1655.172414;Oes
2230;kinoko;29;19;0.95657616;1;16;adult;female;1094;492;4;621.5538847;Oes
2319;kinoko;42;19;0.95657616;1;16;adult;female;1094;492;4;1204.301075;Oes
2195;kizu;24;11;0.77821192;0.984627364;11;adult;female;1110;450;4;777.7777778;Oes
2215;kizu;25;11;0.77821192;0.984627364;11;adult;female;1110;450;4;1360.544218;Oes
2260;kizu;32;11;0.77821192;0.984627364;11;adult;female;1110;450;4;532.7725202;Oes
2295;kizu;39;11;0.77821192;0.984627364;11;adult;female;1110;450;4;433.2840965;Oes
2131;mikan;10;11;0.46726232;0.38622847;10;adult;female;984;403;4;618.9555126;Oes
2168;mikan;18;11;0.46726232;0.38622847;10;adult;female;984;403;4;444.4444444;Oes
2265;mikan;35;11;0.46726232;0.38622847;10;adult;female;984;403;4;1433.868974;Oes
2323;mikan;42;11;0.46726232;0.38622847;10;adult;female;984;403;4;2106.339468;Oes
2298;minku;40;3;0.09459304;0.076826658;12;adult;male;1295;41;1;737.0184255;Oes
2176;mizu;19;13;0.37432529;0.271599354;8;adult;female;888;441;4;63.56773937;Oes
2186;mizu;21;13;0.37432529;0.271599354;8;adult;female;888;441;4;65.35947712;Oes
2268;mizu;35;13;0.37432529;0.271599354;8;adult;female;888;441;4;1163.213377;Oes
2313;mizu;42;13;0.37432529;0.271599354;8;adult;female;888;441;4;3773.976153;Oes
2118;muku;1;15;0.40710263;0.309278912;13;adult;female;731;441;4;27.77777778;Oes
2142;muku;13;15;0.40710263;0.309278912;13;adult;female;731;441;4;390.2439024;Oes
2150;muku;14;15;0.40710263;0.309278912;13;adult;female;731;441;4;0;Oes
2227;muku;29;15;0.40710263;0.309278912;13;adult;female;731;441;4;185.9229748;Oes
2181;okapi;20;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Oes
2208;okapi;25;17;0.34444186;0.161412423;11;adult;male;1282;448;4;32.4017821;Oes
2249;okapi;30;17;0.34444186;0.161412423;11;adult;male;1282;448;4;163.3486473;Oes
2262;okapi;32;17;0.34444186;0.161412423;11;adult;male;1282;448;4;44.44444444;Oes
2132;okura;11;10;0.37667333;0.115712082;10;adult;female;1351;451;4;476.900149;Oes
2144;okura;14;10;0.37667333;0.115712082;10;adult;female;1351;451;4;413.1455399;Oes
2167;okura;17;10;0.37667333;0.115712082;10;adult;female;1351;451;4;728.3763278;Oes
2205;okura;25;10;0.37667333;0.115712082;10;adult;female;1351;451;4;979.1216703;Oes
2139;omoto;12;22;0.76022332;0.655896416;14;adult;female;1338;437;4;1530.286929;Oes
2173;omoto;19;22;0.76022332;0.655896416;14;adult;female;1338;437;4;1627.705628;Oes
2248;omoto;30;22;0.76022332;0.655896416;14;adult;female;1338;437;4;1218.637993;Oes
2271;omoto;35;22;0.76022332;0.655896416;14;adult;female;1338;437;4;1435.185185;Oes
2127;serori;9;13;0.27424544;0.260621316;12;adult;female;791;467;4;116.3213377;Oes
2326;serori;44;13;0.27424544;0.260621316;12;adult;female;791;467;4;570.8460754;Oes
2341;serori;48;13;0.27424544;0.260621316;12;adult;female;791;467;4;742.913001;Oes
2343;serori;49;13;0.27424544;0.260621316;12;adult;female;791;467;4;150.0938086;Oes
2172;shide;19;11;0.52355006;0.208498199;12;adult;female;1596;489;4;921.0526316;Oes
2251;shide;30;11;0.52355006;0.208498199;12;adult;female;1596;489;4;781.0320781;Oes
2273;shide;35;11;0.52355006;0.208498199;12;adult;female;1596;489;4;1330.166271;Oes
2277;shide;36;11;0.52355006;0.208498199;12;adult;female;1596;489;4;1010.68999;Oes
2121;shika;8;21;0.35285222;0.132088877;9;adult;male;1492;471;4;91.95402299;Oes
2197;shika;24;21;0.35285222;0.132088877;9;adult;male;1492;471;4;251.572327;Oes
2283;shika;37;21;0.35285222;0.132088877;9;adult;male;1492;471;4;4241.103849;Oes
2299;shika;40;21;0.35285222;0.132088877;9;adult;male;1492;471;4;67.45362563;Oes
2201;shiso;25;10;0.36528611;0.065697063;14;adult;female;1551;447;4;421.686747;Oes
2252;shiso;30;10;0.36528611;0.065697063;14;adult;female;1551;447;4;204.0816327;Oes
2286;shiso;38;10;0.36528611;0.065697063;14;adult;female;1551;447;4;94.73060983;Oes
2303;shiso;42;10;0.36528611;0.065697063;14;adult;female;1551;447;4;266.1343979;Oes
2146;toga;14;11;0.71953542;0.898793408;13;adult;female;615;445;4;1088.9522;Oes
2216;toga;25;11;0.71953542;0.898793408;13;adult;female;615;445;4;52.80528053;Oes
2259;toga;32;11;0.71953542;0.898793408;13;adult;female;615;445;4;255.489022;Oes
2263;toga;35;11;0.71953542;0.898793408;13;adult;female;615;445;4;623.6080178;Oes
2209;tsuwa;25;16;0.31094998;0.079017008;6;adult;female;1202;481;4;696.4091404;Oes
2238;tsuwa;29;16;0.31094998;0.079017008;6;adult;female;1202;481;4;378.8903924;Oes
2274;tsuwa;35;16;0.31094998;0.079017008;6;adult;female;1202;481;4;421.5456674;Oes
2279;tsuwa;36;16;0.31094998;0.079017008;6;adult;female;1202;481;4;429.3381038;Oes
2185;usu;21;16;0.70190495;0.88855826;17;adult;female;798;410;4;1646.090535;Oes
2244;usu;30;16;0.70190495;0.88855826;17;adult;female;798;410;4;814.2493639;Oes
2288;usu;38;16;0.70190495;0.88855826;17;adult;female;798;410;4;2090.09009;Oes
2324;usu;43;16;0.70190495;0.88855826;17;adult;female;798;410;4;3412.698413;Oes
2135;yamu;12;18;0.74098186;0.350350816;19;adult;female;1509;488;4;607.5949367;Oes
2140;yamu;13;18;0.74098186;0.350350816;19;adult;female;1509;488;4;849.8583569;Oes
2198;yamu;24;18;0.74098186;0.350350816;19;adult;female;1509;488;4;1297.297297;Oes
2284;yamu;38;18;0.74098186;0.350350816;19;adult;female;1509;488;4;921.4659686;Oes
2130;yashi;10;10;0.72677929;0.165119228;21;adult;female;1516;447;4;335.852225;Oes
2152;yashi;14;10;0.72677929;0.165119228;21;adult;female;1516;447;4;395.0617284;Oes
2253;yashi;30;10;0.72677929;0.165119228;21;adult;female;1516;447;4;285.9696157;Oes
2264;yashi;35;10;0.72677929;0.165119228;21;adult;female;1516;447;4;1123.24493;Oes
2170;yone;19;21;0.43814805;0.426382563;7;adult;female;1083;445;4;337.5527426;Oes
2199;yone;24;21;0.43814805;0.426382563;7;adult;female;1083;445;4;208.3333333;Oes
2229;yone;29;21;0.43814805;0.426382563;7;adult;female;1083;445;4;302.6257232;Oes
2266;yone;35;21;0.43814805;0.426382563;7;adult;female;1083;445;4;917.0305677;Oes
2158;yuna;16;7;0.3550599;0.042972482;7;adult;female;674;452;4;474.0740741;Oes
2217;yuna;25;7;0.3550599;0.042972482;7;adult;female;674;452;4;737.6185458;Oes
2222;yuna;26;7;0.3550599;0.042972482;7;adult;female;674;452;4;1256.830601;Oes
2231;yuna;29;7;0.3550599;0.042972482;7;adult;female;674;452;4;437.8762999;Oes
2162;betei;16;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;1212.121212;Oes
2175;betei;19;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;251.572327;Oes
2213;betei;25;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;2178.861789;Oes
2254;betei;31;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;866.9267447;Oes
2134;binega;11;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;2131.593257;Oes
2143;binega;14;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;785.3403141;Oes
2226;binega;29;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;827.8867102;Oes
2242;binega;30;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;4871.35506;Oes
2261;bon;32;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;2666.666667;Oes
2312;bon;42;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;1451.766953;Oes
2332;bon;44;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;2898.550725;Oes
2337;bon;45;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;2538.354254;Oes
2184;botan;21;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;416.6666667;Oes
2270;botan;35;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;3536.439665;Oes
2307;botan;42;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;2857.142857;Oes
2335;botan;44;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;1309.757695;Oes
2136;hado;12;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;40.58853374;Oes
2206;hado;25;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;353.9823009;Oes
2234;hado;29;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;500.7824726;Oes
2247;hado;30;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;555.5555556;Oes
2125;haku;9;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;1486.810552;Oes
2138;haku;12;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;2674.043338;Oes
2155;haku;16;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;2604.997342;Oes
2246;haku;30;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;5914.786967;Oes
2177;hiba;19;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;748.5380117;Oes
2196;hiba;24;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;1884.570082;Oes
2204;hiba;25;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;4471.44593;Oes
2239;hiba;30;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;5565.830031;Oes
2210;hirame;25;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;545.8089669;Oes
2338;hirame;45;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;722.2824124;Oes
2165;komatsu;16;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;2452.452452;Oes
2179;komatsu;19;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;1829.040687;Oes
2192;komatsu;23;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;944.8818898;Oes
2236;komatsu;29;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;2654.415518;Oes
2212;kote;25;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;156.6324033;Oes
2321;kote;42;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;192.3076923;Oes
2334;kote;44;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;1001.137656;Oes
2340;kote;48;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;113.6363636;Oes
2159;mekki;16;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;880.5031447;Oes
2169;mekki;19;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;1144.278607;Oes
2200;mekki;25;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;2451.923077;Oes
2272;mekki;35;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;4352.61708;Oes
2224;mochi;29;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;176.4705882;Oes
2306;mochi;42;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;1032.998565;Oes
2328;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;1103.448276;Oes
2330;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;644.0071556;Oes
2174;noko;19;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;2647.296207;Oes
2292;noko;39;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;4292.017649;Oes
2318;noko;42;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;3882.783883;Oes
2327;noko;44;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;1686.942417;Oes
2145;pan;14;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;202.9426687;Oes
2304;pan;42;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;38.20439351;Oes
2329;pan;44;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;946.969697;Oes
2339;pan;46;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;1164.021164;Oes
2119;pichi;1;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;0;Oes
2203;pichi;25;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;368.8335639;Oes
2250;pichi;30;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;833.3333333;Oes
2278;pichi;36;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;257.4712644;Oes
2117;shida;0;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;451.3888889;Oes
2120;shida;8;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;1832.914222;Oes
2148;shida;14;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;1269.84127;Oes
2235;shida;29;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;2866.666667;Oes
2153;shiira;14;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;751.1737089;Oes
2188;shiira;21;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;1968.365554;Oes
2233;shiira;29;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;980.3921569;Oes
2275;shiira;35;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;2012.012012;Oes
2149;tabu;14;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;152.6717557;Oes
2160;tabu;16;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;1108.471892;Oes
2256;tabu;31;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;4057.971014;Oes
2267;tabu;35;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;4116.534241;Oes
2141;tsutsuji;13;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;689.6551724;Oes
2157;tsutsuji;16;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;430.6864065;Oes
2207;tsutsuji;25;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;697.9280262;Oes
2225;tsutsuji;29;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;947.0752089;Oes
2147;yomogi;14;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;354.6099291;Oes
2189;yomogi;21;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;338.1642512;Oes
2221;yomogi;26;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;2744.673167;Oes
2258;yomogi;32;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;432.0078547;Oes
2133;yotsuba;11;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;100.6289308;Oes
2180;yotsuba;19;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;1700.900901;Oes
2193;yotsuba;23;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;1750.547046;Oes
2237;yotsuba;29;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;4377.51004;Oes
2124;yumin;9;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;1432.225064;Oes
2137;yumin;12;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;1346.389229;Oes
2191;yumin;23;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;711.9021135;Oes
2228;yumin;29;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;1238.709677;Oes
2178;yuu;19;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;815.2173913;Oes
2223;yuu;27;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;716.0493827;Oes
2257;yuu;31;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;448.1792717;Oes
2281;yuu;37;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;1818.181818;Oes
2151;beni;14;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2187;beni;21;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2194;beni;23;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2232;beni;29;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2128;kanna;9;9;0.52647711;0.04298231;13;adult;female;763;487;3;575.5395683;Tri
